PLAYER,SEASON,TEAM,AGE,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
MICHAEL JORDAN,1997-98,CHI,35,21,21,872,680,243,526,46.2,13,43,30.2,181,223,81.2,33,74,107,74,32,12,45,47
MICHAEL JORDAN,1996-97,CHI,34,19,19,804,590,227,498,45.6,13,67,19.4,123,148,83.1,42,108,150,91,30,17,49,46
MICHAEL JORDAN,1995-96,CHI,33,18,18,733,552,187,407,45.9,25,62,40.3,153,187,81.8,31,58,89,74,33,6,42,49
MICHAEL JORDAN,1994-95,CHI,32,10,10,420,315,120,248,48.4,11,30,36.7,64,79,81.0,20,45,65,45,23,14,41,30
MICHAEL JORDAN,1992-93,CHI,30,19,19,783,666,251,528,47.5,28,72,38.9,136,169,80.5,32,96,128,114,39,17,45,58
MICHAEL JORDAN,1991-92,CHI,29,22,22,920,759,290,581,49.9,17,44,38.6,162,189,85.7,37,100,137,127,44,16,81,62
MICHAEL JORDAN,1990-91,CHI,28,17,17,689,529,197,376,52.4,10,26,38.5,125,148,84.5,18,90,108,142,40,23,43,53
MICHAEL JORDAN,1989-90,CHI,27,16,16,674,587,219,426,51.4,16,50,32.0,133,159,83.6,24,91,115,109,45,14,56,54
MICHAEL JORDAN,1988-89,CHI,26,17,17,718,591,199,390,51.0,10,35,28.6,183,229,79.9,26,93,119,130,42,13,68,65
MICHAEL JORDAN,1987-88,CHI,25,10,10,427,363,138,260,53.1,1,3,33.3,86,99,86.9,23,48,71,47,24,11,39,38
MICHAEL JORDAN,1986-87,CHI,24,3,3,128,107,35,84,41.7,2,5,40.0,35,39,89.7,7,14,21,18,6,7,8,11
MICHAEL JORDAN,1985-86,CHI,23,3,3,135,131,48,95,50.5,1,1,100,34,39,87.2,5,14,19,17,7,4,14,13
MICHAEL JORDAN,1984-85,CHI,22,4,4,171,117,34,78,43.6,1,8,12.5,48,58,82.8,7,16,23,34,11,4,15,15
KOBE BRYANT,2011-12,LAL,33,12,12,476,360,132,301,43.9,17,60,28.3,79,95,83.2,16,42,58,52,16,2,34,33
KOBE BRYANT,2010-11,LAL,32,10,10,354,228,83,186,44.6,12,41,29.3,50,61,82.0,8,26,34,33,16,3,31,23
KOBE BRYANT,2009-10,LAL,31,23,23,923,671,234,511,45.8,49,131,37.4,154,183,84.2,26,112,138,126,31,16,79,75
KOBE BRYANT,2008-09,LAL,30,23,23,940,695,242,530,45.7,37,106,34.9,174,197,88.3,19,104,123,126,38,21,59,59
KOBE BRYANT,2007-08,LAL,29,21,21,863,633,222,463,47.9,32,106,30.2,157,194,80.9,18,101,119,117,35,8,70,59
KOBE BRYANT,2006-07,LAL,28,5,5,215,164,60,130,46.2,10,28,35.7,34,37,91.9,1,25,26,22,5,2,22,10
KOBE BRYANT,2005-06,LAL,27,7,7,314,195,72,145,49.7,14,35,40.0,37,48,77.1,4,40,44,36,8,3,33,25
KOBE BRYANT,2003-04,LAL,25,22,22,973,539,190,460,41.3,24,97,24.7,135,166,81.3,18,86,104,121,42,7,61,59
KOBE BRYANT,2002-03,LAL,24,12,12,531,385,137,317,43.2,25,62,40.3,86,104,82.7,16,45,61,62,14,1,42,35
KOBE BRYANT,2001-02,LAL,23,19,19,832,506,187,431,43.4,22,58,37.9,110,145,75.9,28,83,111,87,27,17,54,65
KOBE BRYANT,2000-01,LAL,22,16,16,694,471,168,358,46.9,11,34,32.4,124,151,82.1,29,87,116,97,25,12,51,53
KOBE BRYANT,1999-00,LAL,21,22,22,857,465,174,394,44.2,22,64,34.4,95,126,75.4,26,72,98,97,32,32,55,89
KOBE BRYANT,1998-99,LAL,20,8,8,315,158,61,142,43.0,8,23,34.8,28,35,80.0,13,42,55,37,15,10,31,24
KOBE BRYANT,1997-98,LAL,19,11,0,220,96,31,76,40.8,3,14,21.4,31,45,68.9,7,14,21,16,3,8,11,28
KOBE BRYANT,1996-97,LAL,18,9,0,133,74,21,55,38.2,6,23,26.1,26,30,86.7,1,10,11,11,3,2,14,23
LEBRON JAMES,2022-23,LAL,38,16,16,619,392,147,295,49.8,28,106,26.4,70,92,76.1,25,133,158,104,17,18,40,28
LEBRON JAMES,2020-21,LAL,36,6,6,224,140,54,114,47.4,18,48,37.5,14,23,60.9,7,36,43,48,9,2,25,7
LEBRON JAMES,2019-20,LAL,35,21,21,762,580,214,382,56.0,44,119,37.0,108,150,72.0,28,198,226,184,26,18,84,40
LEBRON JAMES,2017-18,CLE,33,22,22,922,748,275,510,53.9,39,114,34.2,159,213,74.6,31,169,200,198,30,23,94,52
LEBRON JAMES,2016-17,CLE,32,18,18,744,591,217,384,56.5,44,107,41.1,113,162,69.8,19,145,164,141,35,23,72,43
LEBRON JAMES,2015-16,CLE,31,21,21,822,552,219,417,52.5,32,94,34.0,82,124,66.1,42,158,200,160,49,27,75,54
LEBRON JAMES,2014-15,CLE,30,20,20,844,601,227,544,41.7,25,110,22.7,122,167,73.1,37,189,226,169,33,21,82,58
LEBRON JAMES,2013-14,MIA,29,20,20,763,548,192,340,56.5,35,86,40.7,129,160,80.6,14,127,141,95,36,11,61,46
LEBRON JAMES,2012-13,MIA,28,23,23,960,596,212,432,49.1,36,96,37.5,136,175,77.7,37,156,193,152,41,18,70,43
LEBRON JAMES,2011-12,MIA,27,23,23,983,697,251,502,50.0,22,85,25.9,173,234,73.9,54,170,224,129,43,16,81,47
LEBRON JAMES,2010-11,MIA,26,21,21,922,497,174,373,46.6,30,85,35.3,119,156,76.3,34,142,176,123,35,25,66,56
LEBRON JAMES,2009-10,CLE,25,11,11,460,320,106,211,50.2,20,50,40.0,88,120,73.3,15,87,102,84,19,20,42,23
LEBRON JAMES,2008-09,CLE,24,14,14,580,494,159,312,51.0,27,81,33.3,149,199,74.9,19,109,128,102,23,12,38,30
LEBRON JAMES,2007-08,CLE,23,13,13,552,366,113,275,41.1,18,70,25.7,122,167,73.1,16,86,102,99,23,17,54,33
LEBRON JAMES,2006-07,CLE,22,20,20,893,501,166,399,41.6,21,75,28.0,148,196,75.5,26,135,161,159,34,10,66,40
LEBRON JAMES,2005-06,CLE,21,13,13,604,400,146,307,47.6,21,63,33.3,87,118,73.7,22,83,105,76,18,9,65,44
