PLAYER,SEASON,TEAM,AGE,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
MICHAEL JORDAN,2002-03,WAS,40,82,67,3029,1640,679,1527,44.5,16,55,29.1,266,324,82.1,71,426,497,311,123,39,173,171
MICHAEL JORDAN,2001-02,WAS,39,60,53,2089,1375,551,1324,41.6,10,53,18.9,263,333,79.0,50,289,339,310,85,26,162,119
MICHAEL JORDAN,1997-98,CHI,35,82,82,3181,2357,881,1893,46.5,30,126,23.8,565,721,78.4,130,345,475,283,141,45,185,151
MICHAEL JORDAN,1996-97,CHI,34,82,82,3109,2431,920,1892,48.6,111,297,37.4,480,576,83.3,113,369,482,352,140,44,166,156
MICHAEL JORDAN,1995-96,CHI,33,82,82,3090,2491,916,1850,49.5,111,260,42.7,548,657,83.4,148,395,543,352,180,42,197,195
MICHAEL JORDAN,1994-95,CHI,32,17,17,668,457,166,404,41.1,16,32,50.0,109,136,80.1,25,92,117,90,30,13,35,47
MICHAEL JORDAN,1992-93,CHI,30,78,78,3067,2541,992,2003,49.5,81,230,35.2,476,569,83.7,135,387,522,428,221,61,207,188
MICHAEL JORDAN,1991-92,CHI,29,80,80,3102,2404,943,1818,51.9,27,100,27.0,491,590,83.2,91,420,511,489,182,75,200,201
MICHAEL JORDAN,1990-91,CHI,28,82,82,3034,2580,990,1837,53.9,29,93,31.2,571,671,85.1,118,374,492,453,223,83,202,229
MICHAEL JORDAN,1989-90,CHI,27,82,82,3197,2753,1034,1964,52.6,92,245,37.6,593,699,84.8,143,422,565,519,227,54,247,241
MICHAEL JORDAN,1988-89,CHI,26,81,81,3255,2633,966,1795,53.8,27,98,27.6,674,793,85.0,149,503,652,650,234,65,290,247
MICHAEL JORDAN,1987-88,CHI,25,82,82,3311,2868,1069,1998,53.5,7,53,13.2,723,860,84.1,139,310,449,485,259,131,252,270
MICHAEL JORDAN,1986-87,CHI,24,82,82,3281,3041,1098,2279,48.2,12,66,18.2,833,972,85.7,166,264,430,377,236,125,272,237
MICHAEL JORDAN,1985-86,CHI,23,18,7,451,408,150,328,45.7,3,18,16.7,105,125,84.0,23,41,64,53,37,21,45,46
MICHAEL JORDAN,1984-85,CHI,22,82,82,3144,2313,837,1625,51.5,9,52,17.3,630,746,84.5,167,367,534,481,196,69,291,285
KOBE BRYANT,2015-16,LAL,37,66,66,1863,1161,398,1113,35.8,133,467,28.5,232,281,82.6,41,206,247,184,62,13,129,115
KOBE BRYANT,2014-15,LAL,36,35,35,1207,782,266,713,37.3,54,184,29.3,196,241,81.3,26,173,199,197,47,7,128,65
KOBE BRYANT,2013-14,LAL,35,6,6,177,83,31,73,42.5,3,16,18.8,18,21,85.7,2,24,26,38,7,1,34,9
KOBE BRYANT,2012-13,LAL,34,78,78,3013,2133,738,1595,46.3,132,407,32.4,525,626,83.9,66,367,433,469,106,25,287,173
KOBE BRYANT,2011-12,LAL,33,58,58,2232,1616,574,1336,43.0,87,287,30.3,381,451,84.5,66,247,313,264,69,18,204,105
KOBE BRYANT,2010-11,LAL,32,82,82,2779,2078,740,1639,45.1,115,356,32.3,483,583,82.8,83,336,419,388,99,12,243,172
KOBE BRYANT,2009-10,LAL,31,73,73,2835,1970,716,1569,45.6,99,301,32.9,439,541,81.1,78,313,391,365,113,20,233,187
KOBE BRYANT,2008-09,LAL,30,82,82,2960,2201,800,1712,46.7,118,336,35.1,483,564,85.6,90,339,429,399,120,37,210,189
KOBE BRYANT,2007-08,LAL,29,82,82,3192,2323,775,1690,45.9,150,415,36.1,623,742,84.0,94,423,517,441,151,40,257,227
KOBE BRYANT,2006-07,LAL,28,77,77,3140,2430,813,1757,46.3,137,398,34.4,667,768,86.8,75,364,439,413,111,36,255,205
KOBE BRYANT,2005-06,LAL,27,80,80,3277,2832,978,2173,45.0,180,518,34.7,696,819,85.0,71,354,425,360,147,30,250,233
KOBE BRYANT,2004-05,LAL,26,66,66,2689,1819,573,1324,43.3,131,387,33.9,542,664,81.6,95,297,392,398,86,53,270,174
KOBE BRYANT,2003-04,LAL,25,65,64,2452,1557,516,1178,43.8,71,217,32.7,454,533,85.2,103,256,359,330,112,28,171,176
KOBE BRYANT,2002-03,LAL,24,82,82,3404,2461,868,1924,45.1,124,324,38.3,601,713,84.3,106,458,564,481,181,67,288,218
KOBE BRYANT,2001-02,LAL,23,80,80,3065,2019,749,1597,46.9,33,132,25.0,488,589,82.9,112,329,441,438,118,35,223,228
KOBE BRYANT,2000-01,LAL,22,68,68,2791,1938,701,1510,46.4,61,200,30.5,475,557,85.3,104,295,399,338,114,43,220,222
KOBE BRYANT,1999-00,LAL,21,66,62,2524,1485,554,1183,46.8,46,144,31.9,331,403,82.1,108,308,416,323,106,62,182,220
KOBE BRYANT,1998-99,LAL,20,50,50,1896,996,362,779,46.5,27,101,26.7,245,292,83.9,53,211,264,190,72,50,157,153
KOBE BRYANT,1997-98,LAL,19,79,1,2056,1220,391,913,42.8,75,220,34.1,363,457,79.4,79,163,242,199,74,40,157,180
KOBE BRYANT,1996-97,LAL,18,71,6,1102,539,176,422,41.7,51,136,37.5,136,166,81.9,47,85,132,91,49,23,112,102
LEBRON JAMES,2022-23,LAL,38,55,54,1954,1590,609,1219,50.0,121,377,32.1,251,327,76.8,65,392,457,375,50,32,178,88
LEBRON JAMES,2021-22,LAL,37,56,56,2084,1695,640,1221,52.4,161,448,35.9,254,336,75.6,63,396,459,349,73,59,196,121
LEBRON JAMES,2020-21,LAL,36,45,45,1504,1126,422,823,51.3,104,285,36.5,178,255,69.8,29,317,346,350,48,25,168,70
LEBRON JAMES,2019-20,LAL,35,67,67,2316,1698,643,1303,49.3,148,425,34.8,264,381,69.3,66,459,525,684,78,36,261,118
LEBRON JAMES,2018-19,LAL,34,55,55,1937,1505,558,1095,51.0,111,327,33.9,278,418,66.5,57,408,465,454,72,33,197,94
LEBRON JAMES,2017-18,CLE,33,82,82,3026,2251,857,1580,54.2,149,406,36.7,388,531,73.1,97,612,709,747,116,71,347,136
LEBRON JAMES,2016-17,CLE,32,74,74,2795,1954,736,1344,54.8,124,342,36.3,358,531,67.4,97,542,639,646,92,44,303,134
LEBRON JAMES,2015-16,CLE,31,76,76,2709,1920,737,1416,52.0,87,282,30.9,359,491,73.1,111,454,565,514,104,49,249,143
LEBRON JAMES,2014-15,CLE,30,69,69,2493,1743,624,1279,48.8,120,339,35.4,375,528,71.0,51,365,416,511,109,49,272,135
LEBRON JAMES,2013-14,MIA,29,77,77,2902,2089,767,1353,56.7,116,306,37.9,439,585,75.0,81,452,533,488,121,26,270,126
LEBRON JAMES,2012-13,MIA,28,76,76,2877,2036,765,1354,56.5,103,254,40.6,403,535,75.3,97,513,610,551,129,67,226,110
LEBRON JAMES,2011-12,MIA,27,62,62,2326,1683,621,1169,53.1,54,149,36.2,387,502,77.1,94,398,492,387,115,50,213,96
LEBRON JAMES,2010-11,MIA,26,79,79,3063,2111,758,1485,51.0,92,279,33.0,503,663,75.9,80,510,590,554,124,50,284,163
LEBRON JAMES,2009-10,CLE,25,76,76,2966,2258,768,1528,50.3,129,387,33.3,593,773,76.7,71,483,554,651,125,77,261,119
LEBRON JAMES,2008-09,CLE,24,81,81,3054,2304,789,1613,48.9,132,384,34.4,594,762,78.0,106,507,613,587,137,93,241,139
LEBRON JAMES,2007-08,CLE,23,75,74,3027,2250,794,1642,48.4,113,359,31.5,549,771,71.2,133,459,592,539,138,81,255,165
LEBRON JAMES,2006-07,CLE,22,78,78,3190,2132,772,1621,47.6,99,310,31.9,489,701,69.8,83,443,526,470,125,55,250,171
LEBRON JAMES,2005-06,CLE,21,79,79,3361,2478,875,1823,48.0,127,379,33.5,601,814,73.8,75,481,556,521,123,66,260,181
LEBRON JAMES,2004-05,CLE,20,80,80,3388,2175,795,1684,47.2,108,308,35.1,477,636,75.0,111,477,588,577,177,52,262,146
LEBRON JAMES,2003-04,CLE,19,79,79,3120,1654,622,1492,41.7,63,217,29.0,347,460,75.4,99,333,432,465,130,58,273,149
